Country,min,max
Afghanistan,1975,2016
Albania,1975,2016
Algeria,1975,2016
Andorra,1975,2016
Angola,1975,2016
Antigua and Barbuda,1975,2016
Argentina,1975,2016
Armenia,1975,2016
Australia,1975,2016
Austria,1975,2016
Azerbaijan,1975,2016
Bahamas,1975,2016
Bahrain,1975,2016
Bangladesh,1975,2016
Barbados,1975,2016
Belarus,1975,2016
Belgium,1975,2016
Belize,1975,2016
Benin,1975,2016
Bhutan,1975,2016
Bolivia (Plurinational State of),1975,2016
Bosnia and Herzegovina,1975,2016
Botswana,1975,2016
Brazil,1975,2016
Brunei Darussalam,1975,2016
Bulgaria,1975,2016
Burkina Faso,1975,2016
Burundi,1975,2016
Cabo Verde,1975,2016
Cambodia,1975,2016
Cameroon,1975,2016
Canada,1975,2016
Central African Republic,1975,2016
Chad,1975,2016
Chile,1975,2016
China,1975,2016
Colombia,1975,2016
Comoros,1975,2016
Congo,1975,2016
Cook Islands,1975,2016
Costa Rica,1975,2016
Croatia,1975,2016
Cuba,1975,2016
Cyprus,1975,2016
Czechia,1975,2016
C̫te d'Ivoire,1975,2016
Democratic People's Republic of Korea,1975,2016
Democratic Republic of the Congo,1975,2016
Denmark,1975,2016
Djibouti,1975,2016
Dominica,1975,2016
Dominican Republic,1975,2016
Ecuador,1975,2016
Egypt,1975,2016
El Salvador,1975,2016
Equatorial Guinea,1975,2016
Eritrea,1975,2016
Estonia,1975,2016
Eswatini,1975,2016
Ethiopia,1975,2016
Fiji,1975,2016
Finland,1975,2016
France,1975,2016
Gabon,1975,2016
Gambia,1975,2016
Georgia,1975,2016
Germany,1975,2016
Ghana,1975,2016
Greece,1975,2016
Grenada,1975,2016
Guatemala,1975,2016
Guinea,1975,2016
Guinea-Bissau,1975,2016
Guyana,1975,2016
Haiti,1975,2016
Honduras,1975,2016
Hungary,1975,2016
Iceland,1975,2016
India,1975,2016
Indonesia,1975,2016
Iran (Islamic Republic of),1975,2016
Iraq,1975,2016
Ireland,1975,2016
Israel,1975,2016
Italy,1975,2016
Jamaica,1975,2016
Japan,1975,2016
Jordan,1975,2016
Kazakhstan,1975,2016
Kenya,1975,2016
Kiribati,1975,2016
Kuwait,1975,2016
Kyrgyzstan,1975,2016
Lao People's Democratic Republic,1975,2016
Latvia,1975,2016
Lebanon,1975,2016
Lesotho,1975,2016
Liberia,1975,2016
Libya,1975,2016
Lithuania,1975,2016
Luxembourg,1975,2016
Madagascar,1975,2016
Malawi,1975,2016
Malaysia,1975,2016
Maldives,1975,2016
Mali,1975,2016
Malta,1975,2016
Marshall Islands,1975,2016
Mauritania,1975,2016
Mauritius,1975,2016
Mexico,1975,2016
Micronesia (Federated States of),1975,2016
Monaco,1975,2016
Mongolia,1975,2016
Montenegro,1975,2016
Morocco,1975,2016
Mozambique,1975,2016
Myanmar,1975,2016
Namibia,1975,2016
Nauru,1975,2016
Nepal,1975,2016
Netherlands,1975,2016
New Zealand,1975,2016
Nicaragua,1975,2016
Niger,1975,2016
Nigeria,1975,2016
Niue,1975,2016
Norway,1975,2016
Oman,1975,2016
Pakistan,1975,2016
Palau,1975,2016
Panama,1975,2016
Papua New Guinea,1975,2016
Paraguay,1975,2016
Peru,1975,2016
Philippines,1975,2016
Poland,1975,2016
Portugal,1975,2016
Qatar,1975,2016
Republic of Korea,1975,2016
Republic of Moldova,1975,2016
Republic of North Macedonia,1975,2016
Romania,1975,2016
Russian Federation,1975,2016
Rwanda,1975,2016
Saint Kitts and Nevis,1975,2016
Saint Lucia,1975,2016
Saint Vincent and the Grenadines,1975,2016
Samoa,1975,2016
San Marino,1975,2016
Sao Tome and Principe,1975,2016
Saudi Arabia,1975,2016
Senegal,1975,2016
Serbia,1975,2016
Seychelles,1975,2016
Sierra Leone,1975,2016
Singapore,1975,2016
Slovakia,1975,2016
Slovenia,1975,2016
Solomon Islands,1975,2016
Somalia,1975,2016
South Africa,1975,2016
South Sudan,1975,2016
Spain,1975,2016
Sri Lanka,1975,2016
Sudan,1975,2016
Sudan (former),1975,2016
Suriname,1975,2016
Sweden,1975,2016
Switzerland,1975,2016
Syrian Arab Republic,1975,2016
Tajikistan,1975,2016
Thailand,1975,2016
Timor-Leste,1975,2016
Togo,1975,2016
Tonga,1975,2016
Trinidad and Tobago,1975,2016
Tunisia,1975,2016
Turkey,1975,2016
Turkmenistan,1975,2016
Tuvalu,1975,2016
Uganda,1975,2016
Ukraine,1975,2016
United Arab Emirates,1975,2016
United Kingdom of Great Britain and Northern Ireland,1975,2016
United Republic of Tanzania,1975,2016
United States of America,1975,2016
Uruguay,1975,2016
Uzbekistan,1975,2016
Vanuatu,1975,2016
Venezuela (Bolivarian Republic of),1975,2016
Viet Nam,1975,2016
Yemen,1975,2016
Zambia,1975,2016
Zimbabwe,1975,2016
